Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12575658,0000011D,FALSE,Rx,0,8,8C,8,0,C8,0,0,0,0
12575909,86,FALSE,Rx,0,8,96,0F,1,0,0,0,0,0
12576143,0000009F,FALSE,Rx,0,8,83,3F,0,0,0,8,80,40
12579400,380,FALSE,Rx,0,8,F3,3,40,0,0,0,0,FF
12579871,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12580104,101,FALSE,Rx,0,8,FB,7,7E,10,82,0A,40,0
12580355,106,FALSE,Rx,0,8,0F,87,64,0,0,0,FD,10
12580606,0000011E,FALSE,Rx,0,8,C7,7,0,0,0,0,0,0
12580857,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12581650,779,FALSE,Rx,0,8,21,F1,C1,5E,2B,F3,0,E9
12582120,000000A7,FALSE,Rx,0,8,88,3E,E0,80,FD,11,78,3E
12582354,000000A8,FALSE,Rx,0,8,8C,7E,5E,E8,81,64,0,0E
12582893,0000011B,FALSE,Rx,0,8,0,20,0,0,0,0,0,0
12583331,120,FALSE,Rx,0,8,40,7,0,2,1,8,FF,1
12583801,121,FALSE,Rx,0,8,DE,7,0,0,3A,59,7E,FE
12584272,381,FALSE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,4F
12584540,382,FALSE,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,4F
12584774,391,FALSE,Rx,0,8,0E,70,20,34,0,25,0,22
12585127,117,FALSE,Rx,0,8,88,7,0,40,68,0,0,FF
12585377,000003BE,FALSE,Rx,0,8,3C,18,E6,1,C8,80,0,80
12585661,0000009F,FALSE,Rx,0,8,C1,30,0,0,0,8,80,40
12585895,86,FALSE,Rx,0,8,D4,0,1,0,0,0,0,0
12586265,640,FALSE,Rx,0,8,A0,5B,56,A3,80,A0,59,1
12587058,0000065F,FALSE,Rx,0,8,2E,20,0,0,0,0,34,84
12587308,670,FALSE,Rx,0,8,19,10,0,0,0,9,0,8C
12587972,000000AD,FALSE,Rx,0,8,41,E4,BF,FF,0,14,0,0
12589019,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12590016,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12590267,000000FD,FALSE,Rx,0,8,9F,D7,1F,80,0,0,0,0
12590500,104,FALSE,Rx,0,8,1C,37,A6,0,E6,0,0,31
12590734,108,FALSE,Rx,0,8,74,15,34,D0,63,8C,0,0
12590985,116,FALSE,Rx,0,8,8D,7,1,4,0,40,0,FF
12591236,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12591486,392,FALSE,Rx,0,8,8,24,FE,FE,FE,0,0,4
12592262,000000A7,FALSE,Rx,0,8,56,3F,E0,80,FD,11,78,3E
12592512,000000A8,FALSE,Rx,0,8,3,7F,5E,E8,81,64,0,0E
12592814,779,FALSE,Rx,0,8,22,2B,E6,0,27,2B,E7,0
12595506,000003C0,FALSE,Rx,0,4,4F,8,3,0,0,0,0,0
12595739,86,FALSE,Rx,0,8,B0,1,1,0,0,0,0,0
12595989,0000009F,FALSE,Rx,0,8,A5,31,0,0,0,8,80,40
12596223,0000011D,FALSE,Rx,0,8,E8,9,0,C8,0,0,0,0
12597412,584,FALSE,Rx,0,6,41,4,0,0,0,0,0,0
12597985,000005F0,FALSE,Rx,0,8,56,0,44,0,0,57,0,0
12599917,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12600150,101,FALSE,Rx,0,8,B9,8,7E,10,82,0A,40,0
12600418,106,FALSE,Rx,0,8,4D,88,64,0,0,0,FD,10
12600669,0000011E,FALSE,Rx,0,8,85,8,0,0,0,0,0,0
12600919,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12601102,0000030D,FALSE,Rx,0,4,4,0,0,0,0,0,0,0
12601640,779,FALSE,Rx,0,8,23,2B,E9,0,0,AA,AA,AA
12602195,000000A7,FALSE,Rx,0,8,9F,30,E0,80,FD,11,78,3E
12602446,000000A8,FALSE,Rx,0,8,53,70,5E,E8,81,64,4,0E
12602697,000002B7,FALSE,Rx,0,8,82,0D,0,0,0,0,0,FE
12602982,120,FALSE,Rx,0,8,19,8,0,2,1,8,FF,1
12603368,121,FALSE,Rx,0,8,1D,8,0,0,3A,59,7E,FE
12604296,0000048E,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12604564,497,FALSE,Rx,0,8,0,0,0,0,46,44,0,20
12604798,0000070F,FALSE,Rx,0,8,10,0D,22,2B,F0,2B,F1,2B
12605032,117,FALSE,Rx,0,8,CA,8,0,40,68,0,0,FF
12605282,0000054B,FALSE,Rx,0,8,0,0,0,0,0,0,0,24
12605601,17F0000A,TRUE,Rx,0,8,0,0A,0,0,0,0,0,0
12605835,86,FALSE,Rx,0,8,1C,2,1,0,0,0,0,0
12606086,0000009F,FALSE,Rx,0,8,9,32,0,0,0,8,80,40
12608987,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12609966,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12610217,000000FD,FALSE,Rx,0,8,58,D8,1F,80,0,0,0,0
12610451,104,FALSE,Rx,0,8,5E,38,A6,0,E6,0,0,31
12610702,116,FALSE,Rx,0,8,CF,8,1,4,0,40,0,FF
12610952,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12611203,0000018C,FALSE,Rx,0,8,0,20,59,0,0,0,0,0
12611453,0000031B,FALSE,Rx,0,8,52,9,0,0,0,0,0,0
12612314,000000A7,FALSE,Rx,0,8,17,31,E0,80,FD,11,78,3E
12612565,000000A8,FALSE,Rx,0,8,61,71,5E,E8,81,64,8,0E
12612799,779,FALSE,Rx,0,8,30,0F,0A,AA,AA,AA,AA,AA
12614727,3.00E+05,FALSE,Rx,0,8,7B,11,0,0,0,0,0,0
12614995,0000070F,FALSE,Rx,0,8,21,F3,2B,E6,2B,E7,2B,E9
12615331,40,FALSE,Rx,0,8,31,0E,0,44,C1,0,0,0
12615565,108,FALSE,Rx,0,8,D8,16,34,D0,63,8C,0,0
12615799,86,FALSE,Rx,0,8,78,3,1,0,0,0,0,0
12616049,0000009F,FALSE,Rx,0,8,6D,33,0,0,0,8,80,40
12616282,0000011D,FALSE,Rx,0,8,44,0A,0,C8,0,0,0,0
12616516,0000032A,FALSE,Rx,0,8,7C,0B,0,0,48,2,0,0
12617350,0000030B,FALSE,Rx,0,8,10,2D,2,0,0C,0,0,24
12617974,365,FALSE,Rx,0,8,C0,6,11,0,89,2,A8,7A
12618546,395,FALSE,Rx,0,8,14,7,40,0,96,67,7A,1C
12619966,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12620217,101,FALSE,Rx,0,8,F9,9,7E,0F,82,0E,40,0
12620451,106,FALSE,Rx,0,8,29,89,64,0,0,0,FD,10
12620702,0000011E,FALSE,Rx,0,8,E1,9,0,0,0,0,0,0
12620952,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12622135,000000A7,FALSE,Rx,0,8,63,32,E0,80,FD,11,78,3E
12622369,000000A8,FALSE,Rx,0,8,C5,72,5E,E8,81,64,4,0E
12622874,120,FALSE,Rx,0,8,4F,9,0,2,1,8,FF,1
12623311,121,FALSE,Rx,0,8,7D,9,0,C0,39,59,7E,FE
12625002,117,FALSE,Rx,0,8,AE,9,0,40,68,0,0,FF
12625659,0000009F,FALSE,Rx,0,8,7E,34,0,0,0,8,80,40
12625893,86,FALSE,Rx,0,8,6B,4,1,0,0,0,0,0
12628947,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12629927,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12630161,000000FD,FALSE,Rx,0,8,6A,D9,1F,80,0,0,0,0
12630428,104,FALSE,Rx,0,8,3A,39,A6,0,E6,0,0,31
12630662,116,FALSE,Rx,0,8,AB,9,1,4,0,40,0,FF
12630913,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12632062,000000A7,FALSE,Rx,0,8,E2,33,E0,80,FD,11,78,3E
12632329,000000A8,FALSE,Rx,0,8,17,73,5E,A8,81,64,4,0E
12632732,779,FALSE,Rx,0,8,10,18,62,2B,F0,0,0,2B
12633881,0000070F,FALSE,Rx,0,8,30,20,0,AA,AA,AA,AA,AA
12634217,1B000012,TRUE,Rx,0,8,12,0,4,1,11,0,0,0
12635672,0000011D,FALSE,Rx,0,8,20,0B,0,C8,0,0,0,0
12635922,86,FALSE,Rx,0,8,0F,5,1,0,0,0,0,0
12636155,0000009F,FALSE,Rx,0,8,1A,35,0,0,0,8,80,40
12636406,000003C8,FALSE,Rx,0,8,0,0,54,24,0,60,1,51
12637986,000000AD,FALSE,Rx,0,8,A6,E9,BF,FF,0,14,0,0
12639898,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12640148,101,FALSE,Rx,0,8,34,0A,7E,10,82,8,40,0
12640415,106,FALSE,Rx,0,8,85,8A,64,0,0,0,FD,10
12640649,108,FALSE,Rx,0,8,BC,17,34,D0,63,8C,0,0
