Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1824311,00000104,false,Rx,0,8,96,3A,A6,00,E6,00,00,31,
1832868,0000011B,false,Rx,0,8,00,20,00,00,00,00,00,00,
1832899,00000116,false,Rx,0,8,F0,0A,01,04,00,00,00,FF,
1832913,00000120,false,Rx,0,8,8D,0A,00,00,01,04,FF,01,
1832926,00000121,false,Rx,0,8,AF,0A,00,00,39,5A,7E,FE,
1832939,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,DF,
1832952,00000392,false,Rx,0,8,00,2B,00,00,00,00,00,04,
1832965,00000117,false,Rx,0,8,40,05,00,40,68,00,00,FF,
1832978,0000009F,false,Rx,0,8,7B,36,0F,80,03,24,00,40,
1842537,000001AB,false,Rx,0,8,AF,05,00,02,00,00,05,00,
1842558,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1842696,0000012E,false,Rx,0,8,7F,E6,7F,00,FE,00,C0,FF,
1842709,0000011D,false,Rx,0,8,33,0C,00,C8,00,00,00,00,
1842722,00000086,false,Rx,0,8,06,07,16,20,00,00,00,00,
1842735,0000009F,false,Rx,0,8,1F,37,0F,80,03,24,00,40,
1842748,00000108,false,Rx,0,8,11,18,D2,26,55,FE,00,00,
1842761,00000395,false,Rx,0,8,18,0F,40,06,B0,43,4D,1C,
1853467,000000AD,false,Rx,0,8,62,E2,BF,FF,00,14,00,00,
1853494,00000365,false,Rx,0,8,C1,C6,18,40,8E,02,AC,7A,
1853508,000003E5,false,Rx,0,8,63,1D,00,00,00,00,00,00,
1853521,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1853534,000000A7,false,Rx,0,8,53,17,20,80,FD,01,A8,3E,
1853548,00000040,false,Rx,0,8,55,00,00,00,C1,00,00,00,
1853561,000000A8,false,Rx,0,8,99,A7,FE,17,81,64,6C,0E,
1853574,00000101,false,Rx,0,8,FE,0C,84,FB,A1,06,40,00,
1864120,000003DB,false,Rx,0,8,50,80,00,00,04,20,01,6F,
1864144,00000108,false,Rx,0,8,75,19,D2,26,55,FE,00,00,
1864271,00000396,false,Rx,0,8,6B,07,00,11,00,00,00,00,
1864284,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1864297,000000A7,false,Rx,0,8,1E,18,20,80,FD,01,A8,3E,
1864311,000000A8,false,Rx,0,8,83,A8,FE,17,81,64,68,0E,
1871728,000000FD,false,Rx,0,8,90,DC,1F,80,00,00,00,00,
1871757,00000104,false,Rx,0,8,E1,3C,A6,00,E6,00,00,31,
1871770,00000120,false,Rx,0,8,FB,0C,00,00,01,04,FF,01,
1871900,00000116,false,Rx,0,8,87,0C,01,04,00,00,00,FF,
1871913,00000121,false,Rx,0,8,C1,0C,00,00,39,5A,7E,FE,
1871926,00000117,false,Rx,0,8,88,07,00,40,68,00,00,FF,
1871939,0000009F,false,Rx,0,8,95,3A,0F,80,03,24,00,40,
1871953,00000086,false,Rx,0,8,8C,0A,16,20,00,00,00,00,
1881253,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1881279,000000FD,false,Rx,0,8,19,DD,1F,80,00,00,00,00,
1881294,000000A7,false,Rx,0,8,C8,1A,20,80,FD,01,A8,3E,
1881307,000000A8,false,Rx,0,8,E6,AA,FE,17,81,64,64,0E,
1881320,00000104,false,Rx,0,8,85,3D,A6,00,E6,00,00,31,
1887817,00000497,false,Rx,0,8,00,60,00,00,64,46,00,20,
1887943,00000116,false,Rx,0,8,E3,0D,01,04,00,00,00,FF,
1887957,00000120,false,Rx,0,8,4B,0D,00,00,01,04,FF,01,
1887969,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1887982,00000121,false,Rx,0,8,D2,0D,00,00,39,5A,7E,FE,
1887996,00000117,false,Rx,0,8,CA,08,00,40,68,00,00,FF,
1888009,0000009F,false,Rx,0,8,E2,3C,0F,80,03,24,00,40,
1888049,00000086,false,Rx,0,8,C8,0C,15,20,00,00,00,00,
1898829,0000031B,false,Rx,0,8,D3,08,00,00,00,00,00,00,
1898859,0000012E,false,Rx,0,8,79,E9,7F,00,FE,00,C0,FF,
1898875,0000011D,false,Rx,0,8,9F,0F,00,C8,00,00,00,00,
1898889,00000086,false,Rx,0,8,9F,0D,16,20,00,00,00,00,
1898902,0000009F,false,Rx,0,8,86,3D,0F,80,03,24,00,40,
1898915,00000380,false,Rx,0,8,D5,0D,40,00,00,00,00,FF,
1898928,000003C0,false,Rx,0,4,74,00,03,00,00,00,00,00,
1898941,000000AD,false,Rx,0,8,35,E7,BF,FF,00,14,00,00,
1908566,00000116,false,Rx,0,8,4F,0E,01,04,00,00,00,FF,
1908594,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,EF,
1908610,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,EF,
1908623,00000117,false,Rx,0,8,AE,09,00,40,68,00,00,FF,
1908636,00000086,false,Rx,0,8,33,0E,16,20,00,00,00,00,
1908649,0000009F,false,Rx,0,8,2A,3E,0F,80,03,24,00,40,
1908662,0000030B,false,Rx,0,8,10,00,02,00,08,00,00,00,
1908675,0000032A,false,Rx,0,8,C6,0A,00,00,44,04,00,00,
1918932,0000012E,false,Rx,0,8,25,EA,7F,00,FE,00,C0,FF,
1918960,0000011D,false,Rx,0,8,DD,00,00,C8,00,00,00,00,
1919087,00000086,false,Rx,0,8,57,0F,16,20,00,00,00,00,
1919100,0000009F,false,Rx,0,8,4E,3F,0F,80,03,24,00,40,
1919113,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1919127,000000A7,false,Rx,0,8,62,1E,20,80,FD,01,A8,3E,
1919140,000000A8,false,Rx,0,8,D3,AE,FE,17,81,64,58,0E,
1919153,000000FD,false,Rx,0,8,71,DF,1F,80,00,00,00,00,
1929011,00000121,false,Rx,0,8,F7,0F,00,00,39,5A,7E,FE,
1929033,00000117,false,Rx,0,8,02,0A,00,40,68,00,00,FF,
1929047,0000009F,false,Rx,0,8,0C,30,0F,80,03,24,00,40,
1929060,00000086,false,Rx,0,8,15,00,16,20,00,00,00,00,
1929073,00000391,false,Rx,0,8,0E,4E,24,46,00,28,00,22,
1929086,000002B7,false,Rx,0,8,8D,01,00,00,00,00,00,00,
1929099,000003BE,false,Rx,0,8,60,1F,E6,51,C8,80,00,80,
1929113,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1939425,0000012E,false,Rx,0,8,D1,EB,7F,00,FE,00,C0,FF,
1939447,0000011D,false,Rx,0,8,B9,01,00,C8,00,00,00,00,
1939461,00000086,false,Rx,0,8,71,01,16,20,00,00,00,00,
1939474,0000009F,false,Rx,0,8,68,31,0F,80,03,24,00,40,
1939487,00000108,false,Rx,0,8,AE,1C,D2,26,55,FE,00,00,
1939500,00000668,false,Rx,0,8,82,00,00,29,00,03,72,01,
1939513,00000395,false,Rx,0,8,18,09,40,06,B0,43,4D,1C,
1939526,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1950580,00000086,false,Rx,0,8,DD,02,16,20,00,00,00,00,
1950705,0000009F,false,Rx,0,8,C4,32,0F,80,03,24,00,40,
1950719,000000B1,false,Rx,0,8,C2,2B,00,00,00,00,00,00,
1950732,000003C8,false,Rx,0,8,00,00,54,24,00,12,00,4A,
1950745,000000AD,false,Rx,0,8,2F,EC,BF,FF,00,14,00,00,
1950758,00000365,false,Rx,0,8,C1,C6,18,40,8F,02,AC,7A,
1950771,000003E5,false,Rx,0,8,E1,1E,00,00,00,00,00,00,
1950784,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
1950891,0000011E,false,Rx,0,8,B0,01,00,00,00,00,00,00,
1958551,0000012E,false,Rx,0,8,72,EC,7F,00,FE,00,C0,FF,
1958565,0000030B,false,Rx,0,8,10,01,02,00,08,00,00,00,
1958578,0000032A,false,Rx,0,8,A2,0B,00,00,44,04,00,00,
1958591,00000086,false,Rx,0,8,B9,03,16,20,00,00,00,00,
1958604,0000009F,false,Rx,0,8,15,33,0F,80,03,25,00,40,
1958677,0000011D,false,Rx,0,8,15,02,00,C8,00,00,00,00,
1958690,000003DB,false,Rx,0,8,50,80,00,00,04,20,01,6F,
1968826,000000A7,false,Rx,0,8,89,12,20,80,FD,01,A8,3E,
1968839,000000A8,false,Rx,0,8,D2,A2,FE,17,81,64,50,0E,
1968852,000000FD,false,Rx,0,8,01,D1,1F,80,00,00,00,00,
1968866,00000104,false,Rx,0,8,6B,31,A6,00,E6,00,00,31,
1968879,00000116,false,Rx,0,8,0D,01,01,04,00,00,00,FF,
1968907,00000120,false,Rx,0,8,CA,01,00,00,01,04,FF,01,
1968921,00000121,false,Rx,0,8,55,01,00,00,39,5A,7E,FE,
1968934,00000117,false,Rx,0,8,75,0C,00,40,68,00,00,FF,
1979047,1B000012,true,Rx,0,8,12,00,04,01,11,00,00,00,
1979062,00000641,false,Rx,0,8,56,2D,2B,58,14,14,E4,52,
1979212,0000012E,false,Rx,0,8,58,ED,7F,00,FE,00,C0,FF,
1979225,0000011D,false,Rx,0,8,71,03,00,C8,00,00,00,00,
1979238,00000086,false,Rx,0,8,CE,05,16,20,00,00,00,00,
1979251,0000009F,false,Rx,0,8,62,35,0F,80,03,25,00,40,
1979276,000002B7,false,Rx,0,8,55,02,00,00,00,00,00,00,
1979289,00000130,false,Rx,0,8,EC,8D,15,80,08,00,04,00,
1987209,000000A7,false,Rx,0,8,2B,14,60,80,FD,01,A8,3E,
1987235,000000A8,false,Rx,0,8,A9,A4,FE,17,81,64,54,0E,
1987251,000000FD,false,Rx,0,8,CE,D2,1F,80,00,00,00,00,
1991526,00000381,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
1991540,00000104,false,Rx,0,8,C7,32,A6,00,E6,00,00,31,
1991553,00000120,false,Rx,0,8,32,02,00,00,01,04,FF,01,
1991566,00000116,false,Rx,0,8,A1,02,01,04,00,00,00,FF,
1991579,00000121,false,Rx,0,8,DA,02,00,00,39,5A,7E,FE,
1991592,0000030D,false,Rx,0,4,04,00,00,00,00,00,00,00,
1991605,00000382,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
1991618,00000117,false,Rx,0,8,11,0D,00,40,68,00,00,FF,
2002925,000003C0,false,Rx,0,4,C1,01,03,00,00,00,00,00,
2003084,000000AD,false,Rx,0,8,86,E1,BF,FF,00,14,00,00,
2003101,00000365,false,Rx,0,8,C1,C6,18,40,8E,02,AC,7A,
2003114,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
2003161,000000A7,false,Rx,0,8,DA,16,20,80,FD,01,A8,3E,
2003174,00000040,false,Rx,0,8,F9,03,00,00,C1,00,00,00,
2003188,000000A8,false,Rx,0,8,83,A6,FE,17,81,64,5C,0E,
2003201,000000FD,false,Rx,0,8,BB,D3,1F,80,00,00,00,00,
2013202,0000009F,false,Rx,0,8,E8,38,0F,80,03,25,00,40,
