Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9856117,00000497,false,Rx,0,8,00,40,00,00,64,46,00,20,
9856131,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9856144,000000FD,false,Rx,0,8,B7,D5,1F,80,00,00,00,00,
9856157,00000104,false,Rx,0,8,C8,35,A6,00,E6,00,02,31,
9856170,00000108,false,Rx,0,8,6A,1A,CF,25,54,FE,00,00,
9856183,00000116,false,Rx,0,8,E0,05,08,26,78,9F,7C,FF,
9859944,0000011D,false,Rx,0,8,CE,07,00,C8,00,00,00,00,
9859993,00000086,false,Rx,0,8,80,0D,2D,20,00,00,00,00,
9860006,0000009F,false,Rx,0,8,CE,3D,1D,80,03,12,00,40,
9860019,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9873056,00000380,false,Rx,0,8,1D,0F,40,00,00,00,00,FF,
9873091,000000AD,false,Rx,0,8,E3,E7,BF,FF,8F,20,00,10,
9873108,00000117,false,Rx,0,8,FF,01,00,40,68,00,00,FF,
9873121,000000A7,false,Rx,0,8,EF,8C,60,82,FD,25,A8,3E,
9873134,000000A8,false,Rx,0,8,AE,AC,1E,98,82,64,74,0D,
9873147,00000365,false,Rx,0,8,C1,C6,17,40,8E,02,AC,7A,
9873160,00000120,false,Rx,0,8,5B,06,00,00,01,04,FF,01,
9873173,00000121,false,Rx,0,8,0C,06,00,00,38,57,7E,FE,
9882110,00000116,false,Rx,0,8,4C,06,08,26,78,9F,7C,FF,
9882146,0000030B,false,Rx,0,8,10,00,02,00,08,00,00,00,
9885462,1B000010,true,Rx,0,8,10,00,04,05,09,00,00,00,
9885477,00000040,false,Rx,0,8,31,01,00,00,C1,00,00,00,
9885490,00000041,false,Rx,0,8,1D,00,00,00,00,00,00,00,
9885521,0000012E,false,Rx,0,8,6B,E2,7F,00,FE,00,C0,FF,
9885534,000000A7,false,Rx,0,8,1F,8D,60,82,FD,25,A8,3E,
9885547,00000108,false,Rx,0,8,0E,1B,CF,25,54,FE,00,00,
9885560,000000A8,false,Rx,0,8,BD,AD,1E,98,82,64,74,0D,
9885573,00000520,false,Rx,0,8,44,04,00,08,00,0A,00,00,
9896522,000000A8,false,Rx,0,8,32,AE,1E,D8,82,64,74,0D,
9896559,0000011B,false,Rx,0,8,00,20,00,00,00,00,00,00,
9896690,00000120,false,Rx,0,8,59,07,00,00,01,04,FF,01,
9896703,00000121,false,Rx,0,8,5F,07,00,00,38,57,7E,FE,
9896716,0000009F,false,Rx,0,8,44,30,1D,80,03,12,00,40,
9896730,00000086,false,Rx,0,8,0A,00,2D,20,00,00,00,00,
9896743,00000391,false,Rx,0,8,12,65,25,56,00,28,00,22,
9896756,000003BE,false,Rx,0,8,3D,14,E6,01,88,80,00,80,
9906430,0000011D,false,Rx,0,8,E8,09,00,C8,00,00,00,00,
9906461,00000086,false,Rx,0,8,6E,01,2D,20,00,00,00,00,
9906475,0000009F,false,Rx,0,8,20,31,1D,80,03,12,00,40,
9906488,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9906501,00000101,false,Rx,0,8,E4,08,7D,F1,A1,06,40,00,
9906514,00000106,false,Rx,0,8,BE,88,65,00,08,00,EF,10,
9906527,00000108,false,Rx,0,8,1D,1C,CF,25,54,FE,00,00,
9906540,0000011E,false,Rx,0,8,85,08,00,00,00,00,00,00,
9916189,00000121,false,Rx,0,8,12,08,00,C0,37,57,7E,FE,
9916222,0000009F,false,Rx,0,8,8C,32,1D,80,03,12,00,40,
9916238,00000086,false,Rx,0,8,C2,02,2D,20,00,00,00,00,
9916251,000000B1,false,Rx,0,8,85,27,00,00,00,00,00,00,
9916284,000000B2,false,Rx,0,8,00,00,00,00,00,00,00,00,
9916297,000000FD,false,Rx,0,8,58,D8,1F,80,00,00,00,00,
9916310,00000104,false,Rx,0,8,42,38,A6,00,E6,00,02,31,
9924474,00000116,false,Rx,0,8,6A,08,08,26,78,9F,7C,FF,
9924508,0000031B,false,Rx,0,8,25,09,00,00,00,38,15,00,
9924522,000003C8,false,Rx,0,8,00,00,54,24,05,12,80,4D,
9924655,00000668,false,Rx,0,8,82,00,00,29,00,03,31,01,
9924669,000003DB,false,Rx,0,8,50,00,01,00,04,20,01,6E,
9924682,000000AD,false,Rx,0,8,F9,EC,BF,FF,8F,20,00,10,
9924695,0000012E,false,Rx,0,8,D5,E4,7F,00,FE,00,C0,FF,
9924708,00000365,false,Rx,0,8,C1,C6,17,40,8F,02,AC,7A,
9930715,00000117,false,Rx,0,8,24,04,00,40,68,00,00,FF,
9930746,000000A7,false,Rx,0,8,7F,82,60,82,FD,25,A8,3E,
9930760,00000108,false,Rx,0,8,79,1D,CF,25,54,FE,00,00,
9930773,000000A8,false,Rx,0,8,43,A2,1E,D8,82,64,74,0D,
